index,target,amountRaw,amountDecimal
180,0x8D3433d1917D125E30164B794507A8c8331f8E5B,3864426493496034659590000,3864426.493496034659590000
181,0x8dbaC6aA306C92965d85C9aC6648C76D1DC242d1,52302877514678170677966,52302.877514678170677966
182,0x8dD65530b124428Df110826B9A3993fBE67D27f2,8222666321254600780117827,8222666.321254600780117827
183,0x8E638F172217197c1ca1263DaF8AB196f645f548,109111065410915084506279,109111.065410915084506279
184,0x8e68b9f5BF48141284A171eE1Aa829dE9870435d,70002522050075376797282,70002.522050075376797282
185,0x90142730403C87B503C7398e8E1BE447A45bf48B,324586114599768381118618,324586.114599768381118618
186,0x901648073264dB52846Bfdedb4E98B96b48Ae3E9,1978358761710241038835373,1978358.761710241038835373
187,0x91fCe010C0B82E0F89d6ba7115d0F7129930a9A7,1323647102297391796054059,1323647.102297391796054059
188,0x93C58825731b25caa9Ae3aA3196A2a6d6ce2CAD3,5620923112502937934662117,5620923.112502937934662117
189,0x95cC6181f2F3032DCCa3517B6Cf6643128B1b552,489959859270087822562,489.959859270087822562
190,0x96EB6B1B30ce315FF1Acf21E4F29318A93Cf1a5C,4868878581418407748231868,4868878.581418407748231868
191,0x988bE2F85Eb740771068B711ECD0A602F57d3206,407493390599748983611016,407493.390599748983611016
192,0x989A9274DFAD21Ce39B1EeaD7F104911fb104bf5,142631335702832217116815,142631.335702832217116815
193,0x9A3eDD5599De133c1Aae40ae5b13f428Ad76C0F3,6196873022501086472823,6196.873022501086472823
194,0x9Ac02C49a8fA60E00b36D7BE38868848a50F2c36,979774936044933018826782,979774.936044933018826782
195,0x9B934e52987A7dB7c13C2A92F2666A21893689ab,7531427797924831424875,7531.427797924831424875
196,0x9CBB54e06a49529a46B56A247cc93EE0CFB2b27A,1217001580857537401669800,1217001.580857537401669800
197,0x9Ce4Fe68a3FD27d1275BAb0e1F36734FC3503e92,12009586751563606987444,12009.586751563606987444
198,0x9cf687eaCa65e5dA625d3FdE534A73513B0a959F,11097141989942787380882213,11097141.989942787380882213
199,0x9d0400A1F939cA7A66e3756810e1BB2e3Fb23dFc,4999166183081298622716073,4999166.183081298622716073
200,0x9e0bD828C87B66811850b98c1331667BfD545Bb7,1490346771714143076268912,1490346.771714143076268912
201,0x9fbC5fAAfd0FF59ddBDC903b5EA80124Fa1f0270,7213026858588288203347832,7213026.858588288203347832
202,0x9FdEB58d90bD8D6ABF04c0C956Bba72b9d1DB0d4,4750000000000000000000000,4750000.000000000000000000
203,0x9fF1E6e4d6AF7e48F9247435d49277db09cF3EB3,10344931516588959878782955,10344931.516588959878782955
204,0xa0d35354b5D4f40ec82106e349fcB601cD0d3961,3200327086570405211458513,3200327.086570405211458513
205,0xA18ECD40e6041172AF7359BB1BF89eb29c145F8d,487801120133212317766420,487801.120133212317766420
206,0xa1d2386dD5381b887DBB4Fb13283eb9F21F92A0A,1299995347464267018167971,1299995.347464267018167971
207,0xA35e8b99004C9b15EB7aF6e3074f727e29acF04C,85170672092137362160996,85170.672092137362160996
208,0xA44Db311BF4401469D27f251b35928dDDA047bf3,767327170729992214301533,767327.170729992214301533
209,0xA56Ad65b8B29259f765f4aA996630611A3075b4a,294633585576159703489316,294633.585576159703489316
210,0xa5726C91f9D67A14fD6bEdb6BDAb08e234d76D77,98770000000000000000000,98770.000000000000000000
211,0xa5AB762Aee588Cb38D00FF162bba990451De71F3,930512916244385778782949,930512.916244385778782949
212,0xA5c5De680392070E84C555b9758c185B1a509511,45373893645682099963050,45373.893645682099963050
213,0xa64c6369C0d4c61AeeE1f8997bCfB4022F2C614b,1796526448938606751291692,1796526.448938606751291692
214,0xA65217eCa1743932AbD90c6C1a1b0D5e3eA99432,400000000000000000000000,400000.000000000000000000
215,0xa6Bd884286F0D0b492d8A39BC3AE0346dBfF82dD,77808415774626378152148,77808.415774626378152148
216,0xa8300ef3BfC56854124D084526E0f9f906384898,33230679703782431505869,33230.679703782431505869
217,0xa94c6057648bd68dB635a975E2d0944a1788b25c,1011997798447357718077390,1011997.798447357718077390
218,0xa988002CDdE8101d214BD3be92364F07dc11Ad8B,6542318887310560479654106,6542318.887310560479654106
219,0xAa950D1CADd39935eCf1a11eb9F44955f21D3c90,10000000000000000000000,10000.000000000000000000
220,0xAbF0df88D9831d092F5FeB55979c49D5c70160a4,1004332467048588404404349,1004332.467048588404404349
221,0xAC05e227172E01b856d7bbDc6Deb85194F8eF510,251405599330863364015804,251405.599330863364015804
222,0xad7e4A24d0352a0266aE68074E209C10229Ce889,14400156531536087117771,14400.156531536087117771
223,0xadDC68244Dc8d059426E9957F065B0841c70F7Af,307223193805546448438500,307223.193805546448438500
224,0xae346B26d04F0E7b40F741679036b2e30166B391,438962440232030804277439,438962.440232030804277439
225,0xaE96D1619371ED0411bE5DBd4ef07499217e0Bfd,191321786408823116393227,191321.786408823116393227
226,0xaecfe4Eff84a1cd9a24ACcc1914aC537Af7f6E1b,19915191820879319716513858,19915191.820879319716513858
227,0xAeDba578B82d1C5c6D07bB1fA9779e26fBCD6849,7774287368594898578198213,7774287.368594898578198213
228,0xaF1048EB24B9e04A87c9d7eCc720D8E960aaC210,5000000000000000000000,5000.000000000000000000
